municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 01:50:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 02:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 02:10:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 02:20:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 02:30:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 02:40:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 02:50:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 03:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 03:10:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 03:20:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 03:30:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 03:40:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 03:50:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 04:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 05:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 05:10:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 05:20:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 05:30:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 05:40:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 06:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 07:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 08:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 08:10:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 08:20:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 08:30:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 08:40:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 08:50:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 09:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 10:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 11:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 12:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 13:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 14:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 15:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 16:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 17:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 18:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 19:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 20:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 21:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 22:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;13/08/2014 23:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 00:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 01:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 02:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 03:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 04:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 05:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 06:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 07:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 08:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 09:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 10:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 11:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 12:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 13:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 14:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 15:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 16:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 17:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 18:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 19:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 20:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 21:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 22:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;14/08/2014 23:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 00:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 01:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 02:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 03:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 04:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 05:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 05:10:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 05:20:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 05:30:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 05:40:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 05:50:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 06:00:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 06:10:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 06:20:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 06:30:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 07:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 08:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 08:10:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 08:20:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 08:30:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 08:40:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 08:50:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 09:00:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 09:10:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 10:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 11:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 12:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 13:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 14:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 15:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 16:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 17:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 18:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 19:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 20:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 20:10:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 20:20:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 20:30:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 20:40:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 20:50:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 21:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 22:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;15/08/2014 23:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 00:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 00:10:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 00:20:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 00:30:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 00:40:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 00:50:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 01:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 01:10:00;0,5890200000000001
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 01:20:00;0,39268
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 01:30:00;0,39268
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 01:40:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 01:50:00;0,5890200000000001
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 02:00:00;0,5890200000000001
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 02:10:00;0,7853600000000001
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 02:20:00;0,39268
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 02:30:00;0,39268
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 02:40:00;0,39268
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 02:50:00;0,39268
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 03:00:00;0,5890200000000001
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 03:10:00;0,5890200000000001
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 03:20:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 03:30:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 04:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 05:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 06:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 06:10:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 06:20:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 06:30:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 06:40:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 06:50:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 07:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 08:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 08:10:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 08:20:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 08:30:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 08:40:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 08:50:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 09:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 10:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 11:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 12:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 13:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 14:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 15:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 16:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 16:10:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 16:20:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 16:30:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 16:40:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 16:50:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 17:00:00;0,5893053914447135
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 17:10:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 18:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 19:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 20:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 21:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 22:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;16/08/2014 23:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 00:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 01:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 02:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 03:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 04:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 05:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 05:10:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 05:20:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 05:30:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 05:40:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 05:50:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 06:00:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 06:10:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 06:20:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 06:30:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 06:40:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 06:50:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 07:00:00;0,39268
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 07:10:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 07:20:00;0,39268
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 07:30:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 07:40:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 07:50:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 08:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 08:10:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 08:20:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 08:30:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 08:40:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 08:50:00;0,5890200000000001
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 09:00:00;0,5890200000000001
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 09:10:00;0,5890200000000001
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 09:20:00;0,5890200000000001
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 09:30:00;0,39268
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 09:40:00;0,39268
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 09:50:00;0,39268
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 10:00:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 11:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 11:10:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 11:20:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 11:30:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 12:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 13:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 14:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 15:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 16:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 17:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 18:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 19:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 20:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 21:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 22:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;17/08/2014 23:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 00:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 01:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 02:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 02:10:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 02:20:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 02:30:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 02:40:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 02:50:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 03:00:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 03:10:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 03:20:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 03:30:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 04:00:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 04:10:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 04:20:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 04:30:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 04:40:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 04:50:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 05:00:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 05:10:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 05:20:00;0,0
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 05:30:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 05:40:00;0,7853600000000001
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 05:50:00;0,7853600000000001
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 06:00:00;0,5890200000000001
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 06:10:00;0,5890200000000001
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 06:20:00;0,2
RECIFE;261160603A;PE;Estação Experimental UFRPE;-8,018378;-34,947058;18/08/2014 06:30:00;0,0
